,noteId
0,1372024979437584384
1,1366606573980811265
2,1362643946292314114
3,1354881872766107651
4,1408982240793559044
5,1354943355453636612
6,1354865275531886596
7,1354955055833743367
8,1365307868149383176
9,1378852567036362754
10,1391216193411842050
11,1358853643668127746
12,1358465413437390860
13,1408851173017223172
14,1356728036259954702
15,1374388239046377487
16,1375555969674018827
17,1375585246872240139
18,1362769465021235209
19,1372902298196738058
20,1397916750998503438
21,1358983830246457356
22,1374796604939632653
23,1375479267782459406
24,1373680084805124111
25,1376637012615266320
26,1361408425205239811
27,1362190085530128387
28,1374407986345480195
29,1363219081982185475
30,1362121763740520451
31,1400775635954450438
32,1357802923384836096
33,1387599873046941696
34,1407776060230537216
35,1357935198109896704
36,1365011066535743488
37,1404784859214712832
38,1362991744799805446
39,1372520425205469185
40,1374130156600758273
41,1405156716577230849
42,1385024112339390465
43,1355343271313215489
44,1366489327170162689
45,1358584978746052609
46,1354878892469850114
47,1394141868783505410
48,1409489955085291522
49,1402442819655110658
50,1371300262409867266
51,1404634748576731136
52,1405179242250375168
53,1405249810244964352
54,1370521016284352512
55,1404938914977157120
56,1371644485759799296
57,1396570540438065153
58,1394777627995541505
59,1404936554200567809
60,1405170607562559489
61,1382534990576095234
62,1402056059154468866
63,1405230188376494082
64,1377084860049788930
65,1377044502280540162
66,1405196764462845955
67,1400866532826157059
68,1400202038886141955
69,1384527539956224003
70,1379244791855190018
71,1375058804929335300
72,1384926428282621956
73,1374014970342608899
74,1405033006033670147
75,1380210496775786499
76,1373997594523865093
77,1400841605985210373
78,1387821692408434693
79,1404794955818733573
80,1402717809109504005
81,1405237127810519046
82,1386737866726838278
83,1384854096394457093
84,1408257654179368966
85,1377325026135904261
86,1378049468717731847
87,1409310158325420039
88,1367994376622837767
89,1370492992008622087
90,1375688201298382855
91,1377313407922212872
92,1388443863153512456
93,1405675605027328008
94,1375904668925169672
95,1409011386605244423
96,1362793495564587012
97,1396941386243510280
98,1384890968869048328
99,1398357264700936200
100,1404923880993591304
101,1398363242427191306
102,1370859022992150538
103,1377251664462221321
104,1392224531574558729
105,1406320835799945225
106,1392697696658526219
107,1375114807133736971
108,1393382573150179338
109,1372567190373797900
110,1402280397132664845
111,1404492650074542085
112,1367162425150214149
